Unnamed: 0.1,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type,matching_explanations
2526,2526,4868582683.jpg#4r1e,entailment,A young boy playing in a bubble playing in water.,A person is getting wet.,Playing in water implies getting wet., A young boy playing in a bubble *playing* *in* *water.*, A person is *getting* *wet.*,A boy is a person while playing in water implies getting wet., A young *boy* playing in a bubble *playing* *in* *water.*, A *person* is *getting* *wet.*,"A young boy is a type of person, and playing in water implies they'll get wet.", A *young* *boy* playing in a bubble *playing* *in* *water.*, A *person* is getting *wet.*,"['playing', 'in', 'water.']","['getting', 'wet.']","['boy', 'playing', 'in', 'water.']","['person', 'getting', 'wet.']","['young', 'boy', 'playing', 'in', 'water.']","['person', 'wet.']",classification,3
2532,2532,62211045.jpg#0r1e,entailment,A young child brushes his or her teeth while holding a remote.,The young boy is multi-tasking.,The boy is doing two things at once.  He is brushing his teeth and holding a remote.  This is a form of multi-tasking., A young child *brushes* *his* or her *teeth* *while* *holding* *a* *remote.*, The young boy is *multi-tasking.*,The fact the boy brushes his teeth while holding a remote indicates that he is multi-tasking., A young child *brushes* *his* or her *teeth* *while* *holding* *a* *remote.*, The young boy is *multi-tasking.*,Boy is just a description of the gender of a child. Brushing teeth and holding a remote are the same thing are multi-tasking., A young *child* *brushes* his or her *teeth* *while* *holding* *a* *remote.*, The young *boy* is *multi-tasking.*,"['brushes', 'his', 'teeth', 'while', 'holding', 'a', 'remote.']",['multi-tasking.'],"['brushes', 'his', 'teeth', 'while', 'holding', 'a', 'remote.']",['multi-tasking.'],"['child', 'brushes', 'teeth', 'while', 'holding', 'a', 'remote.']","['boy', 'multi-tasking.']",classification,1
2556,2556,141755290.jpg#2r1e,entailment,A woman in an red tracksuit squeezing lemons in a press.,A woman squeezing lemons.,The woman is squeezing lemons whether she uses a tool or not., A woman in an red tracksuit *squeezing* *lemons* in a press., A woman *squeezing* *lemons.*,"Woman in an red tracksuit is a type of woman, and squeezing lemons in a press is a method of squeezing lemons.", A *woman* *in* *an* *red* *tracksuit* *squeezing* *lemons* *in* *a* *press.*, A *woman* *squeezing* *lemons.*,both statements have the words woman squeezing lemons in it., A *woman* in an red tracksuit *squeezing* *lemons* in a press., A *woman* *squeezing* *lemons.*,"['squeezing', 'lemons']","['squeezing', 'lemons.']","['woman', 'in', 'an', 'red', 'tracksuit', 'squeezing', 'lemons', 'in', 'a', 'press.']","['woman', 'squeezing', 'lemons.']","['woman', 'squeezing', 'lemons']","['woman', 'squeezing', 'lemons.']",classification,2
2559,2559,4740975956.jpg#4r1e,entailment,Tall man being stopped by an officer.,There is a tall man.,The tall man is there regardless of the action., *Tall* *man* being stopped by an officer., There is a *tall* *man.*,Answer: The tall man is stopped by an officer., Tall man being *stopped* by an *officer.*, There is a *tall* *man.*,Tall man being stopped is a type of tall man., *Tall* *man* *being* *stopped* by an officer., There is a *tall* *man.*,"['Tall', 'man']","['tall', 'man.']","['stopped', 'officer.']","['tall', 'man.']","['Tall', 'man', 'being', 'stopped']","['tall', 'man.']",classification,3
2568,2568,4734385389.jpg#0r1e,entailment,"A little girl wearing a pink, yellow and white bathing suit, gets wet from a splash of water.",A girl gets wet from a splash of water.,A little girl is a girl that is young.," A *little* *girl* wearing a pink, yellow and white bathing suit, gets wet from a splash of water.", A *girl* gets wet from a splash of water.,Little girl wearing a bathing is a type of girl.," A *little* *girl* *wearing* *a* pink, yellow and white *bathing* *suit,* gets wet from a splash of water.", A *girl* gets wet from a splash of water.,A girl can be little.," A *little* *girl* wearing a pink, yellow and white bathing suit, gets wet from a splash of water.", A *girl* gets wet from a splash of water.,"['little', 'girl']",['girl'],"['little', 'girl', 'wearing', 'a', 'bathing', 'suit']",['girl'],"['little', 'girl']",['girl'],classification,2
2574,2574,2537596840.jpg#3r1e,entailment,A town worker working on electrical equipment.,The worker is working.,If a town worker is working on electrical equipment this can also be simply rephrased as 'the worker is working'., A town worker *working* *on* *electrical* *equipment.*, The *worker* *is* *working.*,"""The worker"" points out to the ""town worker "" being mentioned.", *A* *town* *worker* working on electrical equipment., *The* *worker* is working.,Town worker is a type of worker and the electrical equipment is the job being worked on., A *town* *worker* working on *electrical* *equipment.*, The *worker* is *working.*,"['working', 'on', 'electrical', 'equipment.']","['worker', 'is', 'working.']","['A', 'town', 'worker']","['The', 'worker']","['town', 'worker', 'electrical', 'equipment.']","['worker', 'working.']",classification,3
2588,2588,4951686898.jpg#0r1e,entailment,A woman with tattoos and a black t-shirt smiles and talks to a man with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it.,A female and a male are talking to each other.,"The woman who is talking to a man is a female, and a man is a male.", A *woman* with tattoos and a black t-shirt smiles and talks to a *man* with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it., A *female* and a *male* are talking to each other.,The man and woman are talking to each other, *A* *woman* with tattoos and a black t-shirt smiles and *talks* *to* *a* *man* with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it., *A* *female* *and* *a* *male* *are* *talking* *to* *each* *other.*,"A woman is a type of female, while ""talking to each other"" is a rephrasing of ""talks to a man.""", A *woman* with tattoos and a black t-shirt smiles and *talks* *to* *a* *man* with a partially shaved head wearing shirt with the words' hippie killer' in white letters on it., A *female* and a male are *talking* *to* *each* *other.*,"['woman', 'man']","['female', 'male']","['A', 'woman', 'talks', 'to', 'a', 'man']","['A', 'female', 'and', 'a', 'male', 'are', 'talking', 'to', 'each', 'other.']","['woman', 'talks', 'to', 'a', 'man']","['female', 'talking', 'to', 'each', 'other.']",classification,3
2591,2591,3643971203.jpg#4r1e,entailment,Two businessmen going to work.,Two men go to work.,Businessmen implies they are men, Two *businessmen* going to work., Two *men* go to work.,Businessmen are a type of men., Two *businessmen* going to work., Two *men* go to work.,The men go to work because they are going to work., Two businessmen *going* to *work.*, Two men *go* to *work.*,['businessmen'],['men'],['businessmen'],['men'],"['going', 'work.']","['go', 'work.']",classification,2
2603,2603,35505698.jpg#0r1e,entailment,A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat looks at them from the back.,A man stares at another man.,Looks at implies stares at., A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat *looks* *at* them from the back., A man *stares* *at* another man.,Stares is another way of saying looks., A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat *looks* at them from the back., A man *stares* at another man.,"Man with glasses is a type of man, and stares implies looks.", A *man* *with* *glasses* and a Hawaiian shirt is standing next to a dog while another man with a blue hat *looks* at them from the back., A *man* *stares* at another man.,"['looks', 'at']","['stares', 'at']",['looks'],['stares'],"['man', 'with', 'glasses', 'looks']","['man', 'stares']",classification,3
2633,2633,463608562.jpg#4r1e,entailment,Man in red shirt about to have a barbecue,Person in red shirt about to have a barbecue,A man is a person., *Man* in red shirt about to have a barbecue, *Person* in red shirt about to have a barbecue,Answer: Man is the person., *Man* in red shirt about to have a barbecue, *Person* in red shirt about to have a barbecue,A man is a type of person., *Man* in red shirt about to have a barbecue, *Person* in red shirt about to have a barbecue,['Man'],['Person'],['Man'],['Person'],['Man'],['Person'],classification,3
2670,2670,3181599388.jpg#1r1n,entailment,Two wrestlers jump in a ring while an official watches.,Two wrestlers were just tagged in on a tag team match.,both describe what wrestlers are doing, Two *wrestlers* jump in a ring while an official watches., Two *wrestlers* were just tagged in on a tag team match.,Tag team matches is a form of wrestling where competitors jump at each other., Two wrestlers *jump* in a ring while an official watches., Two wrestlers were just tagged in on a *tag* *team* *match.*,two wrestlers got into the ring after they were tagged and a referee watched them, *Two* wrestlers jump in a *ring* while an official watches., Two wrestlers were just *tagged* in on a tag team match.,['wrestlers'],['wrestlers'],['jump'],"['tag', 'team', 'match.']","['Two', 'ring']",['tagged'],classification,2
2694,2694,4970845641.jpg#0r1e,entailment,An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti.,a person wears a backpack,"African American is a person, and red backpack is a type of backpack.", An *African* *American* wearing a *red* *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* wears a *backpack*,"An African American is a person. ""Wears a backpack"" restates ""wearing a red backpack.""", An *African* *American* *wearing* a red *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* *wears* a *backpack*,AFRICAN AMERICAN PERSON WEARING BACKPACK., An *African* *American* wearing a red *backpack* looks the photographer as he walks past a concrete wall covered in graffiti., a *person* wears a *backpack*,"['African', 'American', 'red', 'backpack']","['person', 'backpack']","['African', 'American', 'wearing', 'backpack']","['person', 'wears', 'backpack']","['African', 'American', 'backpack']","['person', 'backpack']",classification,1
2710,2710,11610969.jpg#2r1e,entailment,People are shopping outside surrounded by a metal fence.,The people are shopping,The people are shopping is part of their description surrounded by a metal fence., *People* are shopping outside *surrounded* by a *metal* *fence.*, The *people* are *shopping*,The people is a rephrasing of people., *People* are shopping outside surrounded by a metal fence., *The* *people* are shopping,Shopping outside is a form of shopping., People are *shopping* *outside* surrounded by a metal fence., The people are *shopping*,"['People', 'surrounded', 'metal', 'fence.']","['people', 'shopping']",['People'],"['The', 'people']","['shopping', 'outside']",['shopping'],classification,3
