,Unnamed: 0,pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_Ordered_1,Sentence2_Highlighted_Ordered_1,Sentence1_Highlighted_Ordered_2,Sentence2_Highlighted_Ordered_2,Sentence1_Highlighted_Ordered_3,Sentence2_Highlighted_Ordered_3,explanation_type
9693,9693,4151523027.jpg#0r1e,entailment,"A curly-haired redhead is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she speaks to her friends standing behind her.",A redhead is talking to her friends.,"""Talking to her friends,"" is a rephrasing of, ""speaks to her friends."""," A curly-haired redhead is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she *speaks* *to* *her* *friends* standing behind her.", A redhead is *talking* *to* *her* *friends.*,"Curly-haired redhead is a type of redhead, and talking means speaks."," A *curly-haired* *redhead* is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she *speaks* to her friends standing behind her.", A *redhead* is *talking* to her friends.,The redhead is talking to her friends.," A curly-haired *redhead* is wearing a blue checkered hat, a black long-sleeve shirt, and blue jeans while holding a red jacket as she speaks to her *friends* standing behind her.", A *redhead* is talking to her *friends.*,['speaks to her friends'],['talking to her friends'],"['curlyhaired redhead', 'speaks']","['redhead', 'talking']","['redhead', 'friends']","['redhead', 'friends']",classification
9697,9697,4890158457.jpg#0r1e,entailment,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,The small group stands outside on a stone street,"Small group of adults and children is a small group, and street implies outside.", A *small* *group* *of* *adults* *and* *children* stand on a cobblestone *street* outside of an Irish pub., The *small* *group* stands *outside* on a stone street,"Small group of adults and children is a small group, and cobblestone street is a type of stone street.", A *small* *group* *of* *adults* *and* *children* stand on a *cobblestone* *street* outside of an Irish pub., The *small* *group* stands outside on a *stone* *street*,The group stands on a stone street because they stand on a cobblestone street., A small group of adults and children *stand* on a *cobblestone* street outside of an Irish pub., The small group *stands* outside on a *stone* *street*,"['small group of adults and children', 'street']","['small group', 'outside']","['small group of adults and children', 'cobblestone street']","['small group', 'stone street']","['stand', 'cobblestone']","['stands', 'stone street']",classification
9701,9701,5984974054.jpg#1r1e,entailment,"The people driving the tiny white car were nearly hit by the train, but it had fortunately stopped just in time.",The car was nearly hit by a train.,The car is tiny.," The people driving the *tiny* white car were nearly hit by the train, but it had fortunately stopped just in time.", The *car* was nearly hit by a train.,Tiny white car is a type of car.," The people driving the *tiny* *white* *car* were nearly hit by the train, but it had fortunately stopped just in time.", The *car* was nearly hit by a train.,The train stopped just in time as the car was nearly hit.," The people driving the tiny white car were nearly hit by the train, but it had fortunately *stopped* *just* *in* *time.*", The *car* *was* *nearly* *hit* by a train.,['tiny'],['car'],['tiny white car'],['car'],['stopped just in time'],['car was nearly hit'],classification
9721,9721,129981966.jpg#3r1e,entailment,a man in pants dancing in a park.,A man is outside.,A park is outside., a man in pants dancing in a *park.*, A man is *outside.*,A man in a park is found outside., a man in pants dancing in a *park.*, A man is *outside.*,"Man in pants is a type of man, and park implies outside.", a *man* *in* *pants* dancing in a *park.*, A *man* is *outside.*,['park'],['outside'],['park'],['outside'],"['man in pants', 'park']","['man', 'outside']",classification
9725,9725,5897297135.jpg#2r1e,entailment,A man wearing a light blue robe-style jacket is sitting on a street corner playing a musical instrument.,The man in the jacket sat on the street playing an instrument.,Sentence 1 offers longer descriptions of the jacket and instrument, A man wearing a light blue robe-style *jacket* is sitting on a street corner playing a musical *instrument.*, The man in the *jacket* sat on the street playing an *instrument.*,A light blue robe-style jacket is a kind of jacket., A man wearing *a* *light* *blue* *robe-style* *jacket* is sitting on a street corner playing a musical instrument., The man in *the* *jacket* sat on the street playing an instrument.,"Wearing a light blue robe-style jacket is a rephrasing of in the jacket, and corner implies street.", A man *wearing* *a* *light* *blue* *robe-style* *jacket* is sitting on a street *corner* playing a musical instrument., The man *in* *the* *jacket* sat on the *street* playing an instrument.,"['jacket', 'instrument']","['jacket', 'instrument']",['a light blue robestyle jacket'],['the jacket'],"['wearing a light blue robestyle jacket', 'corner']","['in the jacket', 'street']",classification
9731,9731,3003936696.jpg#0r1e,entailment,An old woman in a green and blue plaid shirt is standing on a crowded sidewalk smiling.,A woman in a plaid shirt smiling on a crowded sidewalk,A woman in a plaid shirt is on a crowded sidewalk., An old woman in a green and blue plaid shirt is standing *on* *a* *crowded* *sidewalk* smiling., *A* *woman* *in* *a* *plaid* *shirt* smiling on a crowded sidewalk,"Old woman is a type of woman, and green and blue plaid shirt is a type of plaid shirt.", An *old* *woman* in a *green* *and* *blue* *plaid* *shirt* is standing on a crowded sidewalk smiling., A *woman* in a *plaid* *shirt* smiling on a crowded sidewalk,The verb smiling can correctly be used before or after the phrase on a sidewalk., An old woman in a green and blue plaid shirt is standing *on* *a* crowded *sidewalk* *smiling.*, A woman in a plaid shirt *smiling* *on* *a* crowded *sidewalk*,['on a crowded sidewalk'],['A woman in a plaid shirt'],"['old woman', 'green and blue plaid shirt']","['woman', 'plaid shirt']","['on a', 'sidewalk smiling']","['smiling on a', 'sidewalk']",classification
9732,9732,3003936696.jpg#2r1e,entailment,An elderly woman wearing sunglasses stands and looks at something.,Elderly woman peers at an object.,"""Peers"" is a rephrasing of ""stands and looks at something.""", An elderly woman wearing sunglasses *stands* *and* *looks* *at* *something.*, Elderly woman *peers* at an object.,"Elderly woman wearing sunglasses is a type of elderly woman, and object is something.", An *elderly* *woman* *wearing* *sunglasses* stands and looks at *something.*, *Elderly* *woman* peers at an *object.*,looks at something is inferred as peers at an object., An elderly woman wearing sunglasses stands and *looks* *at* *something.*, Elderly woman *peers* *at* *an* *object.*,['stands and looks at something'],['peers'],"['elderly woman wearing sunglasses', 'something']","['Elderly woman', 'object']",['looks at something'],['peers at an object'],classification
9773,9773,3496411891.jpg#1r1e,entailment,During this vacation children enjoying their games at the park.,Kids are playing in a park,Games is a form of playing, During this vacation children *enjoying* *their* *games* at the park., Kids are *playing* in a park,"""children enjoying their games at the park.""is the same as ""kids are playing in a park""", During this vacation *children* *enjoying* *their* *games* at the *park.*, *Kids* are *playing* in a *park*,Children playing due to vacation., During this vacation children *enjoying* their *games* at the park., Kids are *playing* in a park,['enjoying their games'],['playing'],"['children enjoying their games', 'park']","['Kids', 'playing', 'park']","['enjoying', 'games']",['playing'],classification
9797,9797,3386893620.jpg#4r1e,entailment,A woman wearing sunglasses holds two newspapers.,A person is wearing glasses.,Woman is person., A *woman* wearing sunglasses holds two newspapers., A *person* is wearing glasses.,"A woman is a person, and sunglasses are a type of glasses.", A *woman* wearing *sunglasses* holds two newspapers., A *person* is wearing *glasses.*,the woman is wearing sunglasses and so she is holding two newspapers., A woman wearing *sunglasses* holds two *newspapers.*, A person is *wearing* *glasses.*,['woman'],['person'],"['woman', 'sunglasses']","['person', 'glasses']","['sunglasses', 'newspapers']",['wearing glasses'],classification
9801,9801,3799845307.jpg#0r1e,entailment,A man in a black shirt painting a duplicate copy of another painting hanging in an art gallery.,The man is painting something.,"Man, refers to the man in a black shirt who is painting.", A *man* *in* *a* *black* *shirt* *painting* a duplicate copy of another painting hanging in an art gallery., The *man* is painting something.,If a main is painting a duplicate copy it is assumed that the man is painting something., A *man* in a black shirt *painting* a duplicate copy of another painting hanging in an art gallery., The *man* is *painting* something.,"Man in a black shirt is a type of man, and painting a duplicate copy is painting something.", A *man* *in* *a* *black* *shirt* *painting* *a* *duplicate* *copy* of another painting hanging in an art gallery., The *man* is *painting* *something.*,['man in a black shirt painting'],['man'],"['man', 'painting']","['man', 'painting']",['man in a black shirt painting a duplicate copy'],"['man', 'painting something']",classification
9808,9808,2292235516.jpg#2r1n,entailment,Three young indian children play wiffle ball.,Three persons play some game.,Three young indian children are three persons., *Three* *young* *indian* *children* play wiffle ball., *Three* *persons* play some game.,Indian children are people and wiffle ball is a game., *Three* *young* *indian* *children* play wiffle *ball.*, *Three* *persons* play *some* *game.*,"Young Indian children are persons, and wiffle ball is a type of game.", Three *young* *indian* *children* play *wiffle* *ball.*, Three *persons* play some *game.*,['Three young indian children'],['Three persons'],"['Three young indian children', 'ball']","['Three persons', 'some game']","['young indian children', 'wiffle ball']","['persons', 'game']",classification
9819,9819,2546667441.jpg#0r1e,entailment,Black dog with tan markings wearing a blue collar standing on green grass.,There is a dog standing outside.,One must be outside to have green grass., Black dog with tan markings wearing a blue collar standing on *green* *grass.*, There is a dog standing *outside.*,Grass is only found outside., Black dog with tan markings wearing a blue collar standing on green *grass.*, There is a dog standing *outside.*,"Black dog with tan markings is a type of dog, and grass implies outside.", *Black* *dog* *with* *tan* *markings* wearing a blue collar standing on green *grass.*, There is a *dog* standing *outside.*,['green grass'],['outside'],['grass'],['outside'],"['Black dog with tan markings', 'grass']","['dog', 'outside']",classification
